Äŕňŕ;Ęîđäčíŕňű,0;;Ďëîůŕäü ďîćŕđŕ, ęě2;Ńđĺäí˙˙ ňĺěďĺđŕňóđŕ âîçäóőŕ, Ń0;Ńđĺäí˙˙ îňíîńčňĺëüíŕ˙ âëŕćíîńňü âîçäóőŕ, %;Ęîëč÷ĺńňâî îńŕäęîâ, ěě;Íŕďđŕâëĺíčĺ âĺňđŕ â 12:00;Ńđĺäí˙˙ ńęîđîńňü âĺňđŕ, ě/c;Çŕăđ˙çíĺíčĺ 137Cs, ęÁę/ě2;Ďđčěĺ÷ŕíčĺ
;ń,ř;â,ä;;;;;;;;
09.03.15;52.943052 ;31.742763 ;1,993;7,3;61,8;0;Ç;2,6;185;
10.03.15;52.336597 ;31.887474 ;6,86;8,1;58,9;0;Â;1,1;185;
10.03.15;53.014499 ;31.837800 ;N/A;8,1;58,9;0;Â;1,1;185;
10.03.15;52.290900 ;31.761400 ;N/A;8,1;58,9;0;Â;1,1;185;
11.03.15;52.954843 ;31.636848 ;6,75;6,4;64,6;0;Ţ;1,4;185;
11.03.15;53.175400 ;31.665300 ;N/A;6,4;64,6;0;Ţ;1,4;185;
11.03.15;52.899199 ;31.493200 ;N/A;6,4;64,6;0;Ţ;1,4;185;
11.03.15;52.902000 ;31.534300 ;N/A;6,4;64,6;0;Ţ;1,4;185;
11.03.15;52.412900 ;32.192099 ;N/A;6,4;64,6;0;Ţ;1,4;185;
15.03.15;53.131530 ;31.486473 ;8,62;3,4;56;0;Â;2,1;185;
15.03.15;53.147000 ;31.736599 ;N/A;3,4;56;0;Â;2,1;555;
16.03.15;52.560073 ;32.234230 ;3,99;4,4;39,6;0;Â;2,3;185;
16.03.15;52.562000 ;31.833900 ;N/A;4,4;39,6;0;Â;2,3;555;
17.03.15;52.982136 ;32.171058 ;3,2;4,3;42,5;0;Â;2,5;185;Âáëčçč ňîđô˙íčęŕ
17.03.15;53.094436 ;32.199211 ;5,86;4,3;42,5;0;Â;2,5;370;
17.03.15;52.870373 ;34.358882 ;10,66;4,3;42,5;0;Â;2,5;370;
17.03.15;52.803900 ;34.648399 ;N/A;4,3;42,5;0;Â;2,5;370;
17.03.15;52.806300 ;34.659199 ;N/A;4,3;42,5;0;Â;2,5;370;
17.03.15;52.866999 ;34.146299 ;N/A;4,3;42,5;0;Â;2,5;370;
17.03.15;52.765800 ;33.967700 ;N/A;4,3;42,5;0;Â;2,5;370;
17.03.15;52.767700 ;33.950599 ;N/A;4,3;42,5;0;Â;2,5;370;
18.03.15;53.057723 ;31.542778 ;18,04;2,2;50,5;0;Â;1,6;185;
18.03.15;53.030064 ;31.333351 ;5,87;2,2;50,5;0;Â;1,6;185;
18.03.15;52.735044 ;32.063255 ;3,51;2,2;50,5;0;Â;1,6;185;
18.03.15;52.884877 ;32.377739 ;1,993;2,2;50,5;0;Â;1,6;370;
18.03.15;52.465299 ;31.762100 ;N/A;2,2;50,5;0;Â;1,6;555;
18.03.15;52.479200 ;31.767999 ;N/A;2,2;50,5;0;Â;1,6;555;
18.03.15;53.121699 ;32.869900 ;N/A;2,2;50,5;0;Â;1,6;370;
19.03.15;52.115360 ;31.934166 ;6,66;2,1;54,5;0;Ţ;0,9;370;
19.03.15;52.968492 ;33.586235 ;3,99;2,1;54,5;0;Ţ;0,9;;
19.03.15;53.201919 ;33.429164 ;7,08;2,1;54,5;0;Ţ;0,9;;
19.03.15;52.842500 ;32.204399 ;N/A;2,1;54,5;0;Ţ;0,9;;
19.03.15;52.445800 ;33.084800 ;N/A;2,1;54,5;0;Ţ;0,9;;
19.03.15;53.081599 ;34.734199 ;N/A;2,1;54,5;0;Ţ;0,9;;
19.03.15;53.082499 ;34.729900 ;N/A;2,1;54,5;0;Ţ;0,9;;
19.03.15;52.728900 ;33.392800 ;N/A;2,1;54,5;0;Ţ;0,9;;
19.03.15;52.869100 ;33.105799 ;N/A;2,1;54,5;0;Ţ;0,9;;
19.03.15;53.219899 ;32.474100 ;N/A;2,1;54,5;0;Ţ;0,9;;
20.03.15;52.173300 ;34.626331 ;6,66;3,6;51,5;0;Ç;1,4;;
20.03.15;53.044599 ;31.395699 ;N/A;3,6;51,5;0;Ç;1,4;;
20.03.15;52.769999 ;31.790099 ;N/A;3,6;51,5;0;Ç;1,4;;
20.03.15;52.178600 ;32.321600 ;N/A;3,6;51,5;0;Ç;1,4;;
20.03.15;52.726299 ;34.297200 ;N/A;3,6;51,5;0;Ç;1,4;; 
20.03.15;52.992000 ;32.224399 ;N/A;3,6;51,5;0;Ç;1,4;;
23.03.15;52.267106 ;32.354908 ;5,3;-3;53,1;0;Ç;2,1;;
23.03.15;52.563800 ;32.184800 ;N/A;-3;53,1;0;Ç;2,1;;
25.03.15;53.235427 ;33.409938 ;8,87;6,9;53,3;0;Ţ;1,8;;
25.03.15;53.643823 ;33.298015 ;8;6,9;53,3;0;Ţ;1,8;;
25.03.15;52.497799 ;31.918400 ;N/A;6,9;53,3;0;Ţ;1,8;;
25.03.15;52.422100 ;32.434499 ;N/A;6,9;53,3;0;Ţ;1,8;;
25.03.15;52.498299 ;32.460900 ;N/A;6,9;53,3;0;Ţ;1,8;;
25.03.15;52.356400 ;33.113399 ;N/A;6,9;53,3;0;Ţ;1,8;;
25.03.15;52.363299 ;33.522800 ;N/A;6,9;53,3;0;Ţ;1,8;;
25.03.15;52.803000 ;33.667499 ;N/A;6,9;53,3;0;Ţ;1,8;;
25.03.15;53.328300 ;33.637199 ;N/A;6,9;53,3;0;Ţ;1,8;;
26.03.15;52.420429 ;32.775907 ;3,62;8,7;56,8;0;Ç;1,5;;
26.03.15;52.644834 ;33.269090 ;6,85;8,7;56,8;0;Ç;1,5;;
